"image_id","people","onlyone","drawnpeople","facingcamera","backcamera","sitting","insideroom","text","artwork","gallery","museum_collected","```csv","cat"
"C___vCES9So",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"mplusmuseum",NA,"people_art_not_gallery"
"C__CSFOPdjO",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"mplusmuseum",NA,"text"
"C__GtkCzpfG",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"mplusmuseum",NA,"text"
"C_-_dJFyFTL",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,"mplusmuseum",NA,"people_art_gallery"
"C_--7DNSFUq",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"mplusmuseum",NA,"text"
"C_-261oMv4S",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"mplusmuseum",NA,"text"
"C_-3pUSvLL2",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"mplusmuseum",NA,"text"
"C_-cRugvlYa",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"mplusmuseum",NA,"text"
"C_-ofSSPz0E",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"mplusmuseum",NA,"text"
"C_-qWoXyP2T",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"mplusmuseum",NA,"text"
"C_0-ZQsTzjV",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"mplusmuseum",NA,"text"
"C_0DUb_PZ4Y",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"mplusmuseum",NA,"no_art_not_gallery"
"C_0grKFyDbX",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"mplusmuseum",NA,NA
"C_0mebjy5X-",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"mplusmuseum",NA,"people_art_not_gallery"
"C_0SdV8IXgY",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"mplusmuseum",NA,"people_art_not_gallery"
"C_20h3cS_XN",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"mplusmuseum",NA,"text"
"C_2331qynKy",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"mplusmuseum",NA,"no_art_not_gallery"
